search URL:,https://patents.google.com/?q=%28%28AB%253d%28%22carbon+capture%22%29+OR+AB%253d%28%22carbon+dioxide%2Acapture%22%29+OR+AB%253d%28%22carbon+dioxide%2Atrap%2A%22%29+OR+AB%253d%28%22CO2+capture%22%29+OR+AB%253d%28%22carbon%2Aseparat%2A%22%29+OR+AB%253d%28%22CO2+separat%2A%22%29+OR+AB%253d%28%22captur%2A+carbon+dioxide%22%29+OR+AB%253d%28%22captur%2A+CO2%22%29+OR+AB%253d%28%22separat%2A+carbon+dioxide%22%29+OR+AB%253d%28%22absorb%2A+carbon+dioxide%22%29+OR+AB%253d%28%22compress%2A+carbon+dioxide%22%29+OR+AB%253d%28%22carbon%2Aabsor%2A%22%29+OR+AB%253d%28%22CO2+absor%2A%22%29+OR+AB%253d%28%22carbon%2Acompress%2A%22%29+OR+AB%253d%28%22CO2+compress%2A%22%29+OR+%28%28AB%253d%28%22solvent+regenerat%2A%22%29+OR+AB%253d%28%22solvent+recover%2A%22%29%29+AND+AB%253d%28%22carbon%22%29%29%29++OR++%28TI%253d%28%22carbon+capture%22%29+OR+TI%253d%28%22carbon+dioxide%2Acapture%22%29+OR+TI%253d%28%22carbon+dioxide%2Atrap%2A%22%29+OR+TI%253d%28%22CO2+capture%22%29+OR+TI%253d%28%22carbon%2Aseparat%2A%22%29+OR+TI%253d%28%22CO2+separat%2A%22%29+OR+TI%253d%28%22captur%2A+carbon+dioxide%22%29+OR+TI%253d%28%22captur%2A+CO2%22%29+OR+TI%253d%28%22separat%2A+carbon+dioxide%22%29+OR+TI%253d%28%22absorb%2A+carbon+dioxide%22%29+OR+TI%253d%28%22compress%2A+carbon+dioxide%22%29+OR+TI%253d%28%22carbon%2Aabsor%2A%22%29+OR+TI%253d%28%22CO2+absor%2A%22%29+OR+TI%253d%28%22carbon%2Acompress%2A%22%29+OR+TI%253d%28%22CO2+compress%2A%22%29+OR+%28%28TI%253d%28%22solvent+regenerat%2A%22%29+OR+TI%253d%28%22solvent+recover%2A%22%29%29+AND+TI%253d%28%22carbon%22%29%29%29%29&before=priority:20160101&after=priority:19800101&status=GRANT&type=PATENT&language=ENGLISH&dups=language&num=100
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2902974-C,Integrated power generation and carbon capture using fuel cells ,"Paul J. Berlowitz, Timothy Andrew BARCKHOLTZ, Frank H. Hershkowitz, Exxonmobil Research And Engineering Company","Paul J. Berlowitz, Timothy Andrew BARCKHOLTZ, Frank H. Hershkowitz",2013-03-15,2014-03-13,2021-07-27,2021-07-27,https://patents.google.com/patent/CA2902974C/en,
CA-2902967-C,Integrated power generation and carbon capture using fuel cells ,"Paul J. Berlowitz, Timothy Andrew BARCKHOLTZ, Frank Hershkowitz, Exxonmobil Research And Engineering Company","Paul J. Berlowitz, Timothy Andrew BARCKHOLTZ, Frank Hershkowitz",2013-03-15,2014-03-13,2021-07-06,2021-07-06,https://patents.google.com/patent/CA2902967C/en,
US-9597656-B2,Porous carbon materials for CO2 separation in natural gas ,William Marsh Rice University,"James M. Tour, Desmond E. Schipper, Chih-Chau Hwang, Josiah Tour, Almaz S. Jalilov, Gedeng Ruan, Yilun Li",2012-01-11,2015-08-24,2017-03-21,2017-03-21,https://patents.google.com/patent/US9597656B2/en,https://patentimages.storage.googleapis.com/d9/ae/ee/16c3f12745a546/US09597656-20170321-D00000.png
CA-3005529-C,System for capturing co2 from a fuel cell ,"Fuelcell Energy, Inc., Fred C. Jahnke",Fred C. Jahnke,2015-11-16,2016-11-15,2020-08-04,2020-08-04,https://patents.google.com/patent/CA3005529C/en,
US-9127296-B2,Carbon capture in fermentation using blended gaseous substrate ,Lanzatech New Zealand Limited,"Sean Dennis Simpson, Christophe Collet, Michael Cockrem, Simon David Oakley, Michael Koepke",2007-10-28,2013-07-28,2015-09-08,2015-09-08,https://patents.google.com/patent/US9127296B2/en,https://patentimages.storage.googleapis.com/11/ba/f8/d898619d3e6d59/US09127296-20150908-D00001.png
US-9102530-B2,Hydrogen production with carbon capture ,Exxonmobil Research And Engineering Company,"Narasimhan Sundaram, John W. Viets",2011-05-12,2013-09-06,2015-08-11,2015-08-11,https://patents.google.com/patent/US9102530B2/en,https://patentimages.storage.googleapis.com/23/df/ad/eb2de16af3f92e/US09102530-20150811-D00000.png
US-8383376-B2,Carbon capture in fermentation ,Lanzatech New Zealand Limited,"Sean Dennis Simpson, Richard Llewellyn Sydney Forster, Simon David Oakley, Michael Charles Milner Cockrem, Michael Koepke",2007-10-28,2012-08-16,2013-02-26,2013-02-26,https://patents.google.com/patent/US8383376B2/en,https://patentimages.storage.googleapis.com/e8/03/59/d98eb4f77545cd/US08383376-20130226-D00001.png
CA-2828339-C,Systems and methods for carbon dioxide capture and power generation in low emission turbine systems ,"Exxonmobil Upstream Research Company, Sulabh K. Dhanuka, O. Angus Sites, Dennis M. O'dea, Richard A. Huntington, Russell H. Oelfke, Franklin F. Mittricker","Sulabh K. Dhanuka, O. Angus Sites, Dennis M. O'dea, Richard A. Huntington, Russell H. Oelfke, Franklin F. Mittricker",2011-03-22,2012-03-05,2019-06-04,2019-06-04,https://patents.google.com/patent/CA2828339C/en,
US-8178332-B2,Process for accelerated capture of carbon dioxide ,"Akermin, Inc.","Wayne L. Gellett, Tracy L. Bucholz, Richard T. Zvosec, Joshua Schumacher, Robert A. Clayton, Robert P. Shirtum",2008-09-29,2011-08-15,2012-05-15,2012-05-15,https://patents.google.com/patent/US8178332B2/en,https://patentimages.storage.googleapis.com/af/18/9a/20e8f6f0b0075c/US08178332-20120515-D00001.png
CA-2804273-C,Carbon dioxide capture and liquefaction ,Arnold Keller,Arnold Keller,2010-07-09,2011-07-07,2018-06-26,2018-06-26,https://patents.google.com/patent/CA2804273C/en,
AU-2012256278-B2,"System and method of carbon capture and sequestration, environmental remediation and metals recovery ","Expansion Energy, Llc",David Vandor,2011-05-16,2012-05-03,2014-08-21,2014-08-21,https://patents.google.com/patent/AU2012256278B2/en,
US-8365537-B2,Power plant with CO2 capture ,Alstom Technology Ltd,"Hongtao Li, Holger NAGEL, Tjiptady NUGROHO, Celine Mahieux",2008-12-24,2011-06-10,2013-02-05,2013-02-05,https://patents.google.com/patent/US8365537B2/en,https://patentimages.storage.googleapis.com/09/98/70/65420939059b6f/US08365537-20130205-D00000.png
CA-2836239-C,"System and method of carbon capture and sequestration, environmental remediation, and metals recovery ","Expansion Energy, Llc, David Vandor",David Vandor,2011-05-16,2012-05-03,2015-03-03,2015-03-03,https://patents.google.com/patent/CA2836239C/en,
US-11193074-B2,All-steam gasification with carbon capture ,"Wormser Energy Solutions, Inc.","Alex Wormser, John Parkes, Douglas M. Todd",2015-08-06,2019-09-03,2021-12-07,2021-12-07,https://patents.google.com/patent/US11193074B2/en,https://patentimages.storage.googleapis.com/68/9d/23/18ee1f6938f4f8/US11193074-20211207-D00000.png
US-9149761-B2,"Removal of acid gases from a gas stream, with CO2 capture and sequestration ",Exxonmobil Upstream Research Company,"Paul S Northrop, Robbin Bruce Anderson",2010-01-22,2010-11-30,2015-10-06,2015-10-06,https://patents.google.com/patent/US9149761B2/en,https://patentimages.storage.googleapis.com/39/44/9c/4b44ef12cf7e5f/US09149761-20151006-D00000.png
AU-2011201028-B2,An improved CO2 absorption solution ,Saipem S.P.A.,"Olivera Ceperkovic, Sylvie Fradette",2005-02-24,2011-03-08,2013-06-06,2013-06-06,https://patents.google.com/patent/AU2011201028B2/en,
CA-2786574-C,"Removal of acid gases from a gas stream, with co2 capture and sequestration ","Exxonmobil Upstream Research Company, Paul S. Northrop, Robbin Bruce Anderson","Paul S. Northrop, Robbin Bruce Anderson",2010-01-22,2010-11-30,2016-06-28,2016-06-28,https://patents.google.com/patent/CA2786574C/en,
AU-2010343273-B2,"Removal of acid gases from a gas stream, with CO2 capture and sequestration ",Exxonmobil Upstream Research Company,"Robbin Bruce Anderson, Paul S. Northrop",2010-01-22,2010-11-30,2016-01-14,2016-01-14,https://patents.google.com/patent/AU2010343273B2/en,
AU-2019202703-B2,Synthetic fuels and chemicals production with in-situ CO2 capture ,The Ohio State University Research Foundation,"Liang-Shih Fan, Fanxing Li, Liang Zeng",2009-09-08,2019-04-17,2020-05-14,2020-05-14,https://patents.google.com/patent/AU2019202703B2/en,
US-10435722-B2,Carbon capture in fermentation ,Lanzatech New Zealand Limited,"Sean Dennis Simpson, Christophe Collet, Michael Cockrem, Simon David Oakley, Michael Koepke",2007-10-28,2017-07-26,2019-10-08,2019-10-08,https://patents.google.com/patent/US10435722B2/en,https://patentimages.storage.googleapis.com/a5/85/1f/7b4be10fbd41ce/US10435722-20191008-D00001.png
AU-2017202417-B2,Synthetic fuels and chemicals production with in-situ CO2 capture ,The Ohio State University Research Foundation,"Liang-Shih Fan, Fanxing Li, Liang Zeng",2009-09-08,2017-04-12,2019-01-17,2019-01-17,https://patents.google.com/patent/AU2017202417B2/en,
AU-2016203120-B2,Integration of pressure swing adsorption with a power plant for CO2 capture/utilization and N2 production ,Exxonmobil Research And Engineering Company,"Hugo Caram, Ramesh Gupta, Franklin F. Mittricker, Loren K. Starcher, Narasimhan Sundaram, Hans Thomann, Scott J. Weigel, Simon Christopher Weston",2012-06-14,2016-05-13,2017-09-07,2017-09-07,https://patents.google.com/patent/AU2016203120B2/en,
US-9975087-B2,System and method for carbon dioxide capture and sequestration from relatively high concentration CO2 mixtures ,"Peter Eisenberger, Graciela Chichilnisky",Peter Eisenberger,2010-04-30,2017-04-10,2018-05-22,2018-05-22,https://patents.google.com/patent/US9975087B2/en,https://patentimages.storage.googleapis.com/f8/bf/a9/85e3959be42b06/US09975087-20180522-D00000.png
US-10738696-B2,Liquid air power and storage with carbon capture ,William M. Conlon,William M. Conlon,2015-06-03,2017-11-27,2020-08-11,2020-08-11,https://patents.google.com/patent/US10738696B2/en,https://patentimages.storage.googleapis.com/d8/29/f4/9aeab8eb170a7a/US10738696-20200811-D00000.png
US-10253266-B2,Synthetic fuels and chemicals production with in-situ CO2 capture ,Ohio State Innovation Foundation,"Liang-Shih Fan, Fanxing Li, Liang Zeng",2009-09-08,2016-12-12,2019-04-09,2019-04-09,https://patents.google.com/patent/US10253266B2/en,https://patentimages.storage.googleapis.com/49/6e/93/8b65cacd444062/US10253266-20190409-D00000.png
CA-2798045-C,System and method for carbon dioxide capture and sequestration ,"Peter Eisenberger, Global Thermostat Operations, LLC",Peter Eisenberger,2010-04-30,2011-04-29,2019-12-17,2019-12-17,https://patents.google.com/patent/CA2798045C/en,
CA-3061094-C,System and method for carbon dioxide capture and sequestration ,"Peter Eisenberger, Global Thermostat Operations, LLC",Peter Eisenberger,2010-04-30,2011-04-29,2023-10-24,2023-10-24,https://patents.google.com/patent/CA3061094C/en,
US-8221527-B1,Air collector with functionalized ion exchange membrane for capturing ambient CO2 ,"Kilimanjaro Energy, Inc.","Allen B. Wright, Eddy J. Peters",2006-03-08,2011-08-11,2012-07-17,2012-07-17,https://patents.google.com/patent/US8221527B1/en,https://patentimages.storage.googleapis.com/57/67/21/c3a8bcd1340911/US08221527-20120717-D00000.png
KR-102143864-B1,System to capture CO2 from fuel cells ,"퓨얼 셀 에너지, 인크",프레드 씨. 잔케,2015-11-16,2016-11-15,2020-08-12,2020-08-12,https://patents.google.com/patent/KR102143864B1/en,https://patentimages.storage.googleapis.com/86/ca/f4/9649cd1d12a349/112018054905837-pct00001.png
CN-105126599-B,Carbon capture system and method for capturing carbon dioxide ,通用电器技术有限公司,"M.C.巴弗, O.斯塔尔曼恩, C.维恩格特纳",2014-06-02,2015-06-02,2020-04-03,2020-04-03,https://patents.google.com/patent/CN105126599B/en,https://patentimages.storage.googleapis.com/bd/8f/01/0916c8999c1d5d/892834.png
JP-6267375-B2,Membrane separation method using waste heat for in-vehicle recovery and storage of CO2 from exhaust gas of vehicle internal combustion engine ,"サウジ アラビアン オイル カンパニー, サウジ  アラビアン  オイル  カンパニー",ハマド，エサム，ザキ,2011-01-20,2017-02-01,2018-01-24,2018-01-24,https://patents.google.com/patent/JP6267375B2/en,https://patentimages.storage.googleapis.com/84/8f/6b/2348c1d97f3028/0006267375-2.png
US-10821393-B2,"Simulated moving bed system for CO2 separation, and method of same ","Exxonmobil Research And Engineering Company, Tda Research, Inc.","Jeannine Elizabeth Elliott, Robert James Copeland, Jeff Lind, Daniel P. Leta, Patrick P. McCall",2013-07-08,2016-08-11,2020-11-03,2020-11-03,https://patents.google.com/patent/US10821393B2/en,https://patentimages.storage.googleapis.com/1a/c8/7f/96e60c00e2cb82/US10821393-20201103-D00000.png
US-8211394-B2,"Captured CO2 from atmospheric, industrial and vehicle combustion waste ","Murray Kenneth D, Murray Katherine A","Kenneth D. Murray, Katherine A. Murray",2008-11-19,2011-03-28,2012-07-03,2012-07-03,https://patents.google.com/patent/US8211394B2/en,https://patentimages.storage.googleapis.com/46/2d/a0/bc0a79de53c170/US08211394-20120703-D00000.png
US-10239017-B2,System and method for carbon dioxide capture and sequestration ,Peter Eisenberger,Peter Eisenberger,2010-04-30,2018-01-26,2019-03-26,2019-03-26,https://patents.google.com/patent/US10239017B2/en,https://patentimages.storage.googleapis.com/5f/95/17/e6a2a0da976351/US10239017-20190326-D00000.png
US-8354086-B2,"Captured CO2 from atmospheric, industrial and vehicle combustion waste ","Murray Kenneth D, Murray Katherine A","Kenneth D. Murray, Katherine A. Murray",2008-11-19,2011-03-30,2013-01-15,2013-01-15,https://patents.google.com/patent/US8354086B2/en,https://patentimages.storage.googleapis.com/27/ac/f8/adefd36a4f8f33/US08354086-20130115-D00000.png
CA-2869192-C,Method of driving a co2 compressor of a co2-capture system using waste heat from an internal combustion engine ,"Saudi Arabian Oil Company, Aramco Services Company, Mourad Victor Younes, Esam Zaki Hamad","Mourad Victor Younes, Esam Zaki Hamad",2012-08-24,2013-08-23,2019-05-28,2019-05-28,https://patents.google.com/patent/CA2869192C/en,
US-8623123-B2,"CO2 absorption from gas mixtures using an aqueous solution of 4-amino-2,2,6,6-tetramethyl piperidine ",Evonik Degussa Gmbh,"Matthias Seiler, Jöm Rolker, Rolf Schneider, Bernd Glöckler, Axel Kobus, Wolfgang Benesch, Thomas Riethmann, Hermann Winkler, Jens Reich, Helmut Brüggemann",2009-02-02,2013-06-04,2014-01-07,2014-01-07,https://patents.google.com/patent/US8623123B2/en,
JP-6063922-B2,Recirculation facility for increasing yield from fuel cells using CO2 capture ,ゼネラル・エレクトリック・カンパニイ,"レハー，マシュー・アレキサンダー, ピーター，アンドリュー・マックスウェル, アリンジャー，マシュー・ジョセフ, シャピーロ，アンドリュー・フィリップ, ヒューディ，ローラ・ミッシェル, ビーダーマン，ブルース・フィリップ, リッシアンスキー，ヴィタリ・ビクター, シスラー，ロジャー・アレン",2011-03-31,2012-03-29,2017-01-18,2017-01-18,https://patents.google.com/patent/JP6063922B2/en,
EP-2692007-B1,Recirculation complex for increasing yield from fuel cell with co2 capture ,General Electric Company,"Matthew Alexander Lehar, Andrew Maxwell PETER, Matthew Joseph ALINGER, Andrew Philip Shapiro, Laura Michele HUDY, Bruce Philip Biederman, Vitali Victor LISSIANSKI, Roger Allen SHISLER",2011-03-31,2012-03-29,2016-03-23,2016-03-23,https://patents.google.com/patent/EP2692007B1/en,https://patentimages.storage.googleapis.com/9d/91/ab/94099f7d934bdb/imgf0001.png
US-8408006-B2,Power plant with CO2 capture ,Alstom Technology Ltd,"Hongtao Li, Jurgen Hoffmann, Holger NAGEL, Francois Droux, Celine Mahieux, Christoph Ruchti, Manfred Wirsum",2008-12-24,2011-06-15,2013-04-02,2013-04-02,https://patents.google.com/patent/US8408006B2/en,https://patentimages.storage.googleapis.com/88/68/b0/3fe0688c172e51/US08408006-20130402-D00000.png
US-9903271-B2,Low emission triple-cycle power generation and CO2 separation systems and methods ,Exxonmobil Upstream Research Company,"Russell H. Oelfke, Moses Minta",2010-07-02,2011-06-09,2018-02-27,2018-02-27,https://patents.google.com/patent/US9903271B2/en,https://patentimages.storage.googleapis.com/37/7e/cd/9a1e79e4c21fa0/US09903271-20180227-D00000.png
JP-6045654-B2,CO2 absorption liquid scattering control method ,三菱重工業株式会社,"立人 長安, 立人 長安, 上條　孝, 孝 上條, 乾　正幸, 正幸 乾, 大石　剛司, 剛司 大石, 長安　弘貢, 弘貢 長安, 田中　裕士, 裕士 田中, 琢也 平田, 琢也 平田, 達也 辻内, 達也 辻内, 進 沖野, 沖野　　進, 直行 神山, 直行 神山, 吉原　清次, 清次 吉原",2010-05-31,2015-06-30,2016-12-14,2016-12-14,https://patents.google.com/patent/JP6045654B2/en,
US-9211496-B2,"Absorbent, CO2 or H2S reducing apparatus, and CO2 or H2S reducing method using absorbent ","Mitsubishi Heavy Industries, Ltd., The Kansai Electric Power Co., Ltd.","Yukihiko Inoue, Ryuji Yoshiyama, Tsuyoshi Oishi, Masaki Iijima, Masazumi Tanoura, Tomio Mimura, Yasuyuki Yagi",2007-06-18,2013-10-29,2015-12-15,2015-12-15,https://patents.google.com/patent/US9211496B2/en,https://patentimages.storage.googleapis.com/75/a1/f6/8bcb656dfbd454/US09211496-20151215-D00000.png
EP-2613867-B1,Co2 scrubbing process with an absorbent comprising a nucleophile amine and non-nucleophilic base in a non-aqueous solvent ,ExxonMobil Research and Engineering Company,"Pavel Kortunov, Lisa S. Baugh, David C. Calabro, Michael Siskin, Preeti Kamakoti, Quanchang Li, Dennis G. Peiffer",2010-09-09,2011-09-09,2018-05-02,2018-05-02,https://patents.google.com/patent/EP2613867B1/en,https://patentimages.storage.googleapis.com/96/ab/77/75eee2f01630ed/imgf0001.png
EP-2613868-B1,Co2 scrubbing processes with a primary amine absorbent ,ExxonMobil Research and Engineering Company,"Pavel Kortunov, Lisa S. Baugh, David C. Calabro, Michael Siskin",2010-09-09,2011-09-09,2019-11-20,2019-11-20,https://patents.google.com/patent/EP2613868B1/en,https://patentimages.storage.googleapis.com/5d/16/34/822072daf0f15c/imgf0001.png
US-10913027-B2,CO2 separation device in gas and its membrane separation method and method for controlling membrane separation of CO2 separation device in gas ,"Mitsubishi Heavy Industries, Ltd.","Takuya Hirata, Kouji Horizoe",2014-11-12,2015-10-21,2021-02-09,2021-02-09,https://patents.google.com/patent/US10913027B2/en,https://patentimages.storage.googleapis.com/62/6b/e5/5767918837ee25/US10913027-20210209-D00000.png
JP-5760097-B2,Reversible solid adsorption method and system using waste heat for in-vehicle capture and storage of CO2 ,"サウジ アラビアン オイル カンパニー, サウジ  アラビアン  オイル  カンパニー","ハマド，エサム，ザキ, アル‐サダト，ワジディ，イッサム",2011-01-20,2012-01-20,2015-08-05,2015-08-05,https://patents.google.com/patent/JP5760097B2/en,https://patentimages.storage.googleapis.com/74/de/5a/887abc8095b401/0005760097-2.png
US-10226733-B2,Process for CO2 capture using carbonates and biocatalysts ,Co2 Solutions Inc.,"Sylvie Fradette, Julie Gingras, Jonathan Carley, Glenn R. Kelly, Olivera Ceperkovic",2009-08-04,2016-11-23,2019-03-12,2019-03-12,https://patents.google.com/patent/US10226733B2/en,https://patentimages.storage.googleapis.com/ad/48/6e/38d0d1b4e2fc45/US10226733-20190312-D00000.png
US-RE45309-E,System and method of carbon capture and sequestration ,Expansion Energy Llc,David Vandor,2008-10-08,2013-05-21,2014-12-30,2014-12-30,https://patents.google.com/patent/USRE45309E1/en,https://patentimages.storage.googleapis.com/3a/78/44/7a15b2f535c110/USRE045309-20141230-D00000.png
US-9180401-B2,"Liquid, slurry and flowable powder adsorption/absorption method and system utilizing waste heat for on-board recovery and storage of CO2 from motor vehicle internal combustion engine exhaust gases ",Saudi Arabian Oil Company,Esam Zaki Hamad,2011-01-20,2012-01-20,2015-11-10,2015-11-10,https://patents.google.com/patent/US9180401B2/en,https://patentimages.storage.googleapis.com/dc/d5/76/b65a6ce6b25343/US09180401-20151110-D00000.png
TW-I630021-B,Integration of pressure swing adsorption with a power plant for co2 capture/utilization and n2 production ,艾克頌美孚研究工程公司,"納拉辛罕 桑達蘭, 拉麥許 谷普塔, 漢斯 托曼, 雨果 卡拉姆, 羅倫 史達徹, 法蘭克林 密特利克, 賽門 魏斯頓, 史考特 威格爾",2012-06-14,2013-06-07,2018-07-21,2018-07-21,https://patents.google.com/patent/TWI630021B/en,
US-9890399-B2,Carbon capture in fermentation ,Lanzatech New Zealand Limited,"Sean Dennis Simpson, Christophe Collet, Michael Cockrem, Simon David Oakley, Michael Koepke",2007-10-28,2015-08-18,2018-02-13,2018-02-13,https://patents.google.com/patent/US9890399B2/en,https://patentimages.storage.googleapis.com/69/fa/cc/d6564713112632/US09890399-20180213-D00001.png
JP-5841294-B2,Method for driving a CO2 compressor of a CO2 capture system using waste heat of an internal combustion engine ,"サウジ アラビアン オイル カンパニー, サウジ  アラビアン  オイル  カンパニー","ムーラ・ヴィクトル・ユーネス, エサム・ザキ・ハマド",2012-08-24,2013-08-23,2016-01-13,2016-01-13,https://patents.google.com/patent/JP5841294B2/en,https://patentimages.storage.googleapis.com/f3/d8/7a/40c46992f41c62/0005841294-2.png
CN-104220715-B,Utilize the method for the CO2 compressor of the waste heat driven CO2 trapping systems from internal combustion engine ,沙特阿拉伯石油公司,"M·V·尤尼斯, E·Z·哈玛德",2012-08-24,2013-08-23,2017-12-19,2017-12-19,https://patents.google.com/patent/CN104220715B/en,
ES-2714675-T3,Integration of pressure swing adsorption with an electric power plant for CO2 capture / use and N2 production ,Exxonmobil Res & Eng Co,"Narasimhan Sundaram, Ramesh Gupta, Hans Thomann, Hugo Caram, Loren STARCHER, Franklin Mittricker, Simon Weston, Scott Weigel",2012-06-14,2013-06-13,2019-05-29,2019-05-29,https://patents.google.com/patent/ES2714675T3/en,
